LAD17CD,LAD17NM,LAD19CD
E06000028,Bournemouth,E06000058
E06000029,Poole,E06000058
E07000048,Christchurch,E06000058
E07000049,East Dorset,E06000059
E07000050,North Dorset,E06000059
E07000051,Purbeck,E06000059
E07000052,West Dorset,E06000059
E07000053,Weymouth and Portland,E06000059
E07000112,Shepway,E07000112
E07000190,Taunton Deane,E07000246
E07000191,West Somerset,E07000246
E07000201,Forest Heath,E07000245
E07000204,St Edmundsbury,E07000245
E07000205,Suffolk Coastal,E07000244
E07000206,Waveney,E07000244
